"Dim1","Dim2","Dim3","Val"
"X1","yellow","5% and color restrictions",737.864077669903
"X1","blue","5%",1631.06796116505
"X1","blue","5% and color restrictions",1631.06796116505
"X1","green","bau",4000
"X1","green","5%",815.533980582524
"X1","green","5% and color restrictions",1631.06796116505
"X1","orange","5%",1553.39805825243
"X2","yellow","5%",1631.06796116505
"X2","yellow","5% and color restrictions",893.203883495146
"X2","green","bau",4000
"X2","green","5%",815.533980582524
"X2","orange","5% and color restrictions",1553.39805825243
"X2","purple","5%",1553.39805825243
"X2","purple","5% and color restrictions",1553.39805825243
